DrugName	CID
2-MERCAPTOBENZOTHIAZOLE	697993
2-MERCAPTOETHANOL	1567
2-MERCAPTONICOTINIC ACID	673681
2-MERCAPTOPYRIDINE	2723698
2-MERCAPTOPYRIMIDINE	1550489
2-METHOXY-1,4-NAPHTHOQUINONE	16871
2-METHOXY-5 (6)EPOXY-TETRAHYDROCARYOPHYLLENE	3344818
2-METHOXYESTRADIOL	66414
2-METHYL GRAMINE	181513
2-METHYL-5,7,8-TRIMETHOXYISOFLAVONE	6728948
2-METHYLAMINOBENZOIC ACID METHYL ESTER	6826
2-METHYLHISTAMINE	91613
2-NITROFLUORENE	11831
2-OXOISOVALERATE	49
2-PHENYL-1H-INDOLE	13698
2-PHENYLPHENOL	7017
2-PHENYLQUINOLINE	71545
2-PICOLINIC ACID	1018
2X-121	135565981
2X-121	156600286
3',4' DICHLOROBENZAMIL	
3',4'-DIMETHOXYFLAVONE	688674
3,3',4',5-TETRACHLOROSALICYLANILIDE	14385
3,4-DIDESMETHYL-5-DESHYDROXY-3'-ETHOXYSCLEROIN	4000243
3,4-DIHYDROXYPHENYLACETIC ACID	547
3,4-DIHYDROXYXANTHONE	5748382
3,4-DIMETHOXYBENZALDEHYDE	8419
3,4-DIMETHOXYDALBERGIONE	115019
3,5-DINITROCATECHOL (OR-486)	3870203
3,5-DIPHENYLISOXAZOLE	137292
3,6-DIMETHOXYFLAVONE	676292
3,7-DIMETHOXYFLAVONE	688664
3-ACETYLCOUMARIN	77553
3-AMINOBENZAMIDE	1645
3-BROMOBOLDINE	10409038
3-FORMYLINDOLE	10256
3-HYDROXY-3',4'-DIMETHOXYFLAVONE	97143
3-HYDROXYCOUMARIN	13650
3-METHOXYCATECHOL	13622
3-METHYLBUTANOL	31260
3-METHYLCHOLANTHRENE	1674
3-METHYLPYRIDINE	7970
3-O-METHYLQUERCETIN	5280681
3-PHOSPHOGLYCERIC ACID	724
3-PHOSPHOGLYCERIC ACID	439183
3-PHOSPHOGLYCERIC ACID	5327006
3R14S-OCHRATOXIN A	442530
4',7-DIMETHOXY-5-HYDROXYGENISTEIN	
4'-DEMETHYLEPIPODOPHYLLOTOXIN	122797
4'-HYDROXY-FLAVANONE	165506
4'-HYDROXYCHALCONE	5282362
4'-METHOXY-AURONE	642384
4'-METHOXYCHALCONE	641818
4'-METHOXYFLAVONE	77793
4'-O-ACETYLPATENTIFLORIN B	11284483
4,2',4',6'-TETRAHYDROXYCHALCONE	5280960
4,4'-DIMETHOXYDALBERGIONE	364106
4,4'-METHYLENEDIANILINE	7577
4,4'-THIODIANILINE	8765
4-AMINO-[1,2]NAPHTHOQUINONE	72908
4-AMINOPHENOL	403
4-BENZYLOXYANILINE	22860
4-CHLORO-BENZOIC ACID	6318
4-CHLOROMERCURIBENZOIC ACID	1730
4-CYANOPHENOL	13019
4-DAMP	3014059
4-DEMETHYL-4-CHOLESTERYLOXYCARBONYLPENCLOMEDINE	16126905
4-GUANIDINO-BENZOIC ACID	159772
4-HYDROXYBENZALDEHYDE	126
4-HYDROXYCYCLOPHOSPHAMIDE	99735
4-HYDROXYNON-2-ENAL	5283344
4-HYDROXYPHENYLPYRUVIC ACID	979
4-ISOPROPYLPHENSERINE	9907847
4-ISOTHIOUREIDOBUTYRONITRILE	437740
4-METHOXYCINNAMIC ACID	699414
4-METHOXYDALBERGIONE	99926
4-METHYLBENZOIC ACID METHYL ESTER	7455
4-METHYLDAPHNETIN	5355836
4-METHYLESCULETIN	5319502
4-METHYLHISTAMINE	37463
4-METHYLTHIOAMPHETAMINE	151900
4-NITROANILINE	7475
4-NONYLPHENOL	1752
4-PHENYL-BUTYLAMINE	83242
4-TRIETHYLGERMYLPHENOL	
4SC-203	44467821
5,7-DIHYDROXY-4-METHYLCOUMARIN	5354284
5,7-DIHYDROXYISOFLAVONE	5377381
5,7-DIMETHOXYISOFLAVONE	6710704
5-(N,N-DIMETHYL)AMILORIDE HYDROCHLORIDE	11957442
5-(N-ETHYL-N-ISOPROPYL)AMILORIDE	1795
5-(N-METHYL-N-ISOBUTYL)AMILORIDE	73314
5-BENZYLOXYTRYPTAMINE	89576
5-DEMETHYLNOBILETIN	358832
5-FLUOROINDOLE-2-CARBOXYLIC ACID	1820
5-HYDROXYFLAVONE	68112
5-IODO,5'-DEOXYTUBERCIDIN	9842606
5-MEO-DMT	1832
5-METHOXYCANTHINONE	259218
5-METHOXYISATIN	38333
5-METHOXYTRYPTAMINE	1833
5-N-ALLYL-ARGININE	5287706
5-NITRO-2-PHENYLPROPYLAMINOBENZOIC ACID [NPPB]	4549
5-OH-DPAT	172267
5-OXO-ETE	5283159
6,4'-DIMETHOXYFLAVONE	688670
6-AMINONICOTINAMIDE	9500
6-AZAURIDINE	5901
6-BENZYLAMINOPURINE	62389
6-BENZYLTHIOINOSINE	95263
6-BENZYLTHIOINOSINE	6477178
6-BROMOFLAVONE	466276
6-CHLOROFLAVONE	248021
6-CHLORONICOTINIC ACID	79222
6-DIAZO-5-OXO-L-NORLEUCINE	9087
6-HYDROXYFLAVONE	72279
6-METHYLFLAVONE	689013
6-NITROQUIPAZINE	5012
6-O-BENZYLGUANINE	4578
6BIO	448949
7,3'-DIMETHOXYFLAVONE	688672
7,8-DIHYDROXYFLAVONE	1880
7-BENZYLOXYCOUMARIN	910172
7-CHLOROKYNURENIC ACID	1884
7-ETHYL-10-HYDROXYCAMPTOTHECIN	104842
7-FLUOROFLAVONE	261394
7-HYDROXY ARISTOLOCHIC A	1941
7-HYDROXY ISOFLAVONE	5376891
7-HYDROXYCHLORPROMAZINE	16414
7-HYDROXYFLAVONE	5281894
7-METHYLXANTHINE	68374
7-NITROINDAZOLE	1893
7-O-METHYLCRYPTOCHINONE A	46939685
7-O-METHYLCRYPTOCHINONE B	46939686
7-OXOCALLITRISIC ACID, METHYL ESTER	6710737
8,2'-DIMETHOXYFLAVONE	6708756
8-AMINOGUANINE	135421887
8-AZAGUANINE	135403646
8-CHLOROTHEOPHYLLINE	10661
8-CYCLOPENTYLTHEOPHYLLINE	1917
8-DEOXYGARTANIN	392450
8-OH-DPAT	1220
8-PHENYL THEOPHYLLINE	
81C6 131I	
8H9 131I	
8R-HYDROXYLOBELANE	10782198
9,10-PHENANTHRENEQUINONE	6763
9-AMINOCAMPTOTHECIN	72402
9-BENZYL-9H-ADENINE	20262
9-METHYLGUANINE	135403591
9BETA-D-ARABINOFURANOSYLGUANOSINE 5'-TRIPHOSPHATE	135544356
A-119637	9890547
A-123189	9891167
A-192558	9885589
A-286982	9846729
A-349,821	
A-443654	10172943
AB-928	135242184
ABACAVIR	441300
ABAGOVOMAB	
ABALOPARATIDE	145705876
ABAMECTIN	
ABAPERIDONE	3037308
ABARELIX	16131215
ABATACEPT	
ABBV-257	
ABBV-744	132010322
ABC-294640	15604015
ABCIXIMAB	
ABEDITEROL	11962616
ABEMACICLIB	46220502
ABEXINOSTAT	11749858
ABICIPAR PEGOL	
ABIETIC ACID	10569
ABIRATERONE	132971
ABIRATERONE ACETATE	9821849
ABITUZUMAB	
ABIVERTINIB	72734520
ABIVERTINIB MALEATE	121596128
ABOBOTULINUMTOXINA	
ABRILUMAB	
ABROCITINIB	78323835
ABSCISIC ACID	5375199
ABSCISIC ACID	5280896
ABSCISIC ACID	5375200
ABSCISIC ACID	287291
ABSCISIC ACID	643732
ABSCISIC ACID	5702609
ABSCISIC ACID	131954763
ABT 737	11228183
ABT-072	57775240
ABT-102	11256560
ABT-107	11151363
ABT-126	24987875
ABT-288	24743471
ABT-384	11670435
ABT-510	6918562
ABT-560	
ABT-639	46851313
ABT-751	3035714
ABX-IL8	
AC-430	56837828
AC-480	10437018
ACACETIN	5280442
ACACETIN DIACETATE	4303567
ACADESINE	17513
ACALABRUTINIB	71226662
ACALISIB	11618268
ACAMPROSATE	71158
ACAMPROSATE CALCIUM	155434
ACARBOSE	41774
ACARBOSE	444254
ACARBOSE	4432690
ACARBOSE	441184
ACARBOSE	445421
ACARBOSE	163284948
ACARBOSE	18397995
ACARBOSE	129010024
ACARBOSE	134694648
ACARBOSE	122172882
ACEBILUSTAT	68488178
ACEBUTOLOL	1978
ACEBUTOLOL HYDROCHLORIDE	441307
ACECLIDINE	1979
ACECLOFENAC	71771
ACEDIASULFONE	66451
ACEMETACIN	1981
ACENAPHTHOQUINONE	6724
ACENEURAMIC ACID	14017587
ACENOCOUMAROL	54676537
ACEPROMAZINE	6077
ACEPROMETAZINE	26035
ACEQUINOCYL	93315
ACETALDEHYDE	177
ACETAMIDE	178
ACETAMINOPHEN	1983
ACETANILIDE	904
ACETAZOLAMIDE	1986
ACETAZOLAMIDE SODIUM	13290219
ACETOACETIC ACID	96
ACETOCHLOR	1988
ACETOHEXAMIDE	1989
ACETOMENAPHTHONE	11310
ACETOPHENAZINE	17676
ACETOPHENAZINE MALEATE	5281082
ACETOSIDE	5281800
ACETOSIDE	44429837
ACETOSIDE	90474101
ACETOSIDE	24978601
ACETOSIDE	354009
ACETYLCHOLINE	187
ACETYLCHOLINE CHLORIDE	6060
ACETYLCYSTEINE	12035
ACETYLDIGITOXIN	5284512
ACETYLDIGOXIN	11765960
ACETYLSALICYLIC ACID/DIPYRIDAMOLE	
ACETYLSEROTONIN	903
ACETYLSULFANILAMIDE	8482
ACHN-975	71466517
ACID BLUE 129	23675739
ACIFRAN	51576
ACIPIMOX	5310993
ACITRETIN	5284513
ACIVICIN	294641
ACLARUBICIN	451415
ACLARUBICIN HYDROCHLORIDE	153751
ACLIDINIUM	11434515
ACLIDINIUM BROMIDE	11519741
ACOLBIFENE	155435
ACONITINE	245005
ACONITINE	2012
ACONITINE	6419868
ACONITINE	24832676
ACONITINE	6708463
ACONITINE	92044462
ACONITINE	6713948
ACONITINE	45358103
ACONITINE	22393
ACONITINE	124831709
ACONITINE	156592459
ACONITINE	24014401
ACONITINE	71774333
ACONITINE	134688691
ACONITINE	70697623
ACONITINE	162639977
ACONITINE	91746192
ACONITINE	118705467
ACONITINE	139593379
ACONITINE	6323706
ACONITINE	131674976
ACONITINE	16210989
ACONITINE	122173175
ACONITINE	6915984
ACOTIAMIDE	5282338
ACP-001	
ACRIDINE	9215
ACRIDONE	2015
ACRIFLAVINE	443101
ACRISORCIN	24144
ACRIVASTINE	5284514
ACROLEIN	7847
ACRYLAMIDE	6579
ACTEIN	10032468
ACTEIN	15558324
ACTEIN	21594792
ACTEIN	146157764
ACTEIN	73440804
ACTEIN	24764419
ACTEIN	129316909
ACTEIN	134688429
ACTINONIN	443600
ACTIVATED CARBON	5462310
ACUMAPIMOD	11338127
ACYCLOVIR	135398513
ACYLINE	16137348
ACYLINE	44208979
ADALIMUMAB	
ADAPALENE	60164
ADAVOSERTIB	24856436
ADC3680	
ADECATUMUMAB	
ADEFOVIR	60172
ADEFOVIR DIPIVOXIL	60871
ADEMETIONINE	34755
ADEMETIONINE	34756
ADENINE	190
ADENOSINE	60961
ADENOSINE DIPHOSPHATE	6022
ADENOSINE PHOSPHATE	6083
ADENOSINE PHOSPHONOACETIC ACID	448505
ADENOSINE TRIPHOSPHATE	5957
ADERBASIB	16070111
ADH-1	9916058
ADINAZOLAM	37632
ADIPHENINE	2031
ADIPIPLON	11198924
ADL-5747	76967747
ADO-TRASTUZUMAB EMTANSINE	
ADOCIASULFATE-2	10010225
ADOCIASULFATE-2	21589560
ADOMEGLIVANT	91933867
ADOZELESIN	6917987
ADP-597	11691484
