DiseaseID	DrugCID
UMLS:C0002395	11501341
UMLS:C0002395	4054
UMLS:C0002395	53257383
UMLS:C0002395	121587
UMLS:C0002395	10107393
UMLS:C0002395	9651
UMLS:C0002395	24822371
UMLS:C0002395	181458
UMLS:C0002395	70957463
UMLS:C0002438	441375
UMLS:C0002438	5479
UMLS:C0002438	5320
UMLS:C0002438	3728
UMLS:C0002438	165580
UMLS:C0002438	11367
UMLS:C0002440	165580
UMLS:C0002453	638793
UMLS:C0002453	28864
UMLS:C0002726	60960
UMLS:C0002726	24970412
UMLS:C0002726	11001318
UMLS:C0002726	5862
UMLS:C0002726	12035
UMLS:C0002726	25150
UMLS:C0002736	5070
UMLS:C0002736	4021
UMLS:C0002871	6436
UMLS:C0002871	6714002
UMLS:C0002871	443967
UMLS:C0002871	6202
UMLS:C0002871	216326
UMLS:C0002871	23667548
UMLS:C0002871	72078
UMLS:C0002871	3331
UMLS:C0002871	6224
UMLS:C0002871	11339
UMLS:C0002871	20279
UMLS:C0002871	135398658
UMLS:C0002871	23680530
UMLS:C0002871	441409
UMLS:C0002871	135398559
UMLS:C0002871	16923
UMLS:C0002871	439693
UMLS:C0002871	23673837
UMLS:C0002871	10112
UMLS:C0002871	171548
UMLS:C0002871	24083
UMLS:C0002871	54670067
UMLS:C0002871	9444
UMLS:C0002871	1130
UMLS:C0002871	493570
UMLS:C0002871	5834
UMLS:C0002871	6019
UMLS:C0002871	4875
UMLS:C0002871	3007857
UMLS:C0002871	3776
UMLS:C0002871	1054
UMLS:C0002871	24424
UMLS:C0002871	24843
UMLS:C0002871	6042
UMLS:C0002871	5280795
UMLS:C0002871	938
UMLS:C0002871	936
UMLS:C0002871	5877
UMLS:C0002871	451668
UMLS:C0002874	5865
UMLS:C0002874	5743
UMLS:C0002874	6011
UMLS:C0002874	16961
UMLS:C0002874	9400
UMLS:C0002874	5281034
UMLS:C0002874	5755
UMLS:C0002874	5745
UMLS:C0002875	5743
UMLS:C0002875	31307
UMLS:C0002875	5865
UMLS:C0002875	9782
UMLS:C0002875	5745
UMLS:C0002875	5754
UMLS:C0002875	6741
UMLS:C0002875	5755
UMLS:C0002880	5755
UMLS:C0002880	6741
UMLS:C0002880	5754
UMLS:C0002880	9782
UMLS:C0002880	31307
UMLS:C0002880	5865
UMLS:C0002880	5745
