DiseaseID	DrugID
EFO_0000274	CHEMBL1628234
EFO_0000274	CHEMBL484785
EFO_0000274	CHEMBL1621597
EFO_0000274	CHEMBL650
EFO_0000274	CHEMBL131
EFO_0000274	CHEMBL1201109
EFO_0000274	CHEMBL1683
EFO_0000274	CHEMBL1201302
EFO_0000274	CHEMBL1200750
EFO_0000274	CHEMBL989
EFO_0000274	CHEMBL384467
EFO_0000274	CHEMBL635
EFO_0000274	CHEMBL1200953
EFO_0000274	CHEMBL1200686
EFO_0000274	CHEMBL643
EFO_0000274	CHEMBL2108675
EFO_0000274	CHEMBL1650
EFO_0000275	CHEMBL1751
EFO_0000275	CHEMBL1697
EFO_0000275	CHEMBL2105682
EFO_0000275	CHEMBL231779
EFO_0000275	CHEMBL184412
EFO_0000275	CHEMBL631
EFO_0000275	CHEMBL23
EFO_0000275	CHEMBL1201657
EFO_0000275	CHEMBL1201063
EFO_0000275	CHEMBL198362
EFO_0000275	CHEMBL473
EFO_0000275	CHEMBL1615369
EFO_0000275	CHEMBL1200879
EFO_0000275	CHEMBL1269025
EFO_0000275	CHEMBL1464
EFO_0000275	CHEMBL1201729
EFO_0000275	CHEMBL539697
EFO_0000278	CHEMBL2095209
EFO_0000284	CHEMBL710
EFO_0000284	CHEMBL709
EFO_0000284	CHEMBL779
EFO_0000284	CHEMBL1200561
EFO_0000284	CHEMBL1723
EFO_0000284	CHEMBL836
EFO_0000284	CHEMBL3989562
EFO_0000284	CHEMBL1200914
EFO_0000284	CHEMBL1200969
EFO_0000284	CHEMBL611
EFO_0000284	CHEMBL707
EFO_0000284	CHEMBL24778
EFO_0000289	CHEMBL1200826
EFO_0000289	CHEMBL1112
EFO_0000289	CHEMBL1201082
EFO_0000289	CHEMBL715
EFO_0000289	CHEMBL108
EFO_0000289	CHEMBL2028019
EFO_0000289	CHEMBL85
EFO_0000289	CHEMBL1628227
EFO_0000289	CHEMBL1237021
EFO_0000289	CHEMBL109
EFO_0000289	CHEMBL1628234
EFO_0000289	CHEMBL3188993
EFO_0000289	CHEMBL716
EFO_0000289	CHEMBL1375743
EFO_0000289	CHEMBL41
EFO_0000289	CHEMBL1615372
EFO_0000289	CHEMBL708
EFO_0000289	CHEMBL3187365
EFO_0000289	CHEMBL3989833
EFO_0000289	CHEMBL3544974
EFO_0000289	CHEMBL741
EFO_0000289	CHEMBL2024517
EFO_0000289	CHEMBL2105613
EFO_0000294	CHEMBL3545376
