DrugName	CID
(3s)-3-Cyclopentyl-6-Methyl-7-[(4-Methylpiperazin-1-Yl)sulfonyl]-3,4-Dihydro-2h-1,2,4-Benzothiadiazine 1,1-Dioxide	44129629
(3s,4s)-3,4-dihydrobenzo[c]phenanthrene-3,4-diol	
(3s,6s,9s,12r)-3,6-dibenzyl-9-[6-[(2s)-oxiran-2-yl]-6-oxo-hexyl]-1,4,7,10-tetrazabicyclo[10.3.0]pentadecane-2,5,8,11-tetrone	
(3s,8s,9s,10r,13r,14s,17r)-17-(1,5-dimethylhex-4-enyl)-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1h-cyclopenta[a]phenanthren-3-ol	
(4-Amidinophenyl)methanesulfonyl fluoride	1719
(4-Methyl-2-oxo-2H-quinolin-1-yl)-acetic acid	268297
(4-Methylphenyl)methanethiol	78252
(4-Pyridylmethylene)indane 10a	6539794
(4-Pyridylmethylene)indane 6a	6539788
(4-Pyridylmethylene)indane 8b	6539793
(4-carbamimidoyl-2-nitrophenyl) 4-methoxybenzoate	129025
(4-carboxyphenyl)mercury	8747
(4-nitropyrazol-1-yl)-phenylmethanone	
(4-sulfophenyl)mercury	65258
(4E)-4-AMINOHEX-4-ENOIC ACID	5288385
(4E)-4-AMINOHEX-4-ENOIC ACID	15107208
(4R)-4-ammoniopentanoate	444458
(4S)-4-ammoniopentanoate	5312968
(4ar,6r,7r,7as)-6-[6-(benzylamino)-9h-purin-9-yl]tetrahydro-4h-furo[3,2-d][1,3,2]dioxaphosphinine-2,7-diol 2-oxide	
(5-(2-fluorophenyl)-1-pentyl-1H-pyrrol-3-yl)(naphthalen-1-yl)methanone	16049783
(5-(PYRIDIN-3-YL)FURAN-2-YL)METHANAMINE	11332763
(5-AMINO-1-PHENYL-1H-PYRAZOL-4-YL)(PHENYL)METHANONE	15311937
(5-methoxy-1H-indol-3-yl)methanamine	14702424
(5-methyl-3-(morpholinomethyl)-2,3-dihydro-[1,4]oxazino[2,3,4-hi]indol-6-yl)(naphthalen-1-yl)methanone	5689
(5-phenylfuran-2-yl)methanamine	11993871
(5R)-5-hydroxy-L-lysine	3032849
(5Z)-7-Oxozeaenol(D2 MRC)	
(6,6-dimethyl-3-nonan-2-yl-7,8,9,10-tetrahydrobenzo[c]chromen-1-yl) 5-(diethylamino)pentanoate	
(6r,8s,11r,13s,14s,17r)-11-[4-(dimethylamino)phenyl]-6,13-dimethyl-1,4',5',6,7,8,11,12,13,14,15,16-dodecahydro-3'h-spiro[cyclopenta[a]phenanthrene-17,2'-furan]-3(2h)-one	
(9Z,12E)-12-nitrooctadeca-9,12-dienoic acid	5282316
(9beta,10alpha)-17-(Acetyloxy)-6-methylpregna-4,6-diene-3,20-dione	23617124
(?5-HETE lactone	
(D)-Eritadenine	6480509
(E)-1-(4-heptylphenyl)but-2-en-1-one	
(E)-3,5,4'-Trimethoxystilbene	5388063
(E)-5-Styrylisatin	42628986
(E)-6-Styrylisatin	42629116
(E)-9-nitrooctadec-9-enoic Acid	11645581
(E)-Methyl 2-((2S,3S,12bS)-3-ethyl-8-methoxy-1,2,3,4,6,7,12,12b-octahydroindolo[2,3-a]quinolizin-2-yl)-3-methoxyacrylate	3034396
(E)-Methyl 2-((2S,3S,12bS)-3-ethyl-8-methoxy-1,2,3,4,6,7,12,12b-octahydroindolo[2,3-a]quinolizin-2-yl)-3-methoxyacrylate	126968770
(E)-Methyl 2-((2S,3S,12bS)-3-ethyl-8-methoxy-1,2,3,4,6,7,12,12b-octahydroindolo[2,3-a]quinolizin-2-yl)-3-methoxyacrylate	611919
(E)-Methyl 2-((2S,3S,12bS)-3-ethyl-8-methoxy-1,2,3,4,6,7,12,12b-octahydroindolo[2,3-a]quinolizin-2-yl)-3-methoxyacrylate	15560578
(E)-Methyl 2-((2S,3S,12bS)-3-ethyl-8-methoxy-1,2,3,4,6,7,12,12b-octahydroindolo[2,3-a]quinolizin-2-yl)-3-methoxyacrylate	5376107
(E)-N-Methyl-2-((3-(2-(pyridin-2-yl)vinyl)-1H-indazol-6-yl)thio)benzamide(D2 Roche)	
(E/Z)-Endoxifen	130621
(R)-(-)-N-ethyl-2-methoxy-11-hydroxynoraporphine	57340748
(R)-(-)-Nipecotic acid	1796510
(R)-(-)-Rolipram	448055
(R)-2,11-Diaminoaporphine	44568534
(R)-3-Hydroxybutyric acid	92135
(R)-Ketoprophen	180540
(R)-Norfluoxetine	9797657
(R)-ONDANSETRON	667538
(R)-Roscovitine(D2 LINCS)	
(R)-TACRINE(10)-HUPYRIDONE	5326966
(R)-alpha-Methylhistamine	156615
(R)-duloxetine	10334821
(R)-mevalonate	5288798
(R)-sirtinol	1376646
(R)PK-11195	24839733
(R/R)BEFLOXATONE	18646248
(RS)-PPG	4545574
(RS)-tacrine(10)-hupyridone	10028957
(S)-(+)-2-(Aminomethyl)pyrrolidine	2734054
(S)-(+)-Dimethindene maleate	56972160
(S)-(+)-Ibuprofen	39912
(S)-(+)-Nipecotic acid	6575389
(S)-1-{2-[3-(3,4-DICHLOROPHENYL)-1-(3-ISOPROPOXYPHENACYL)-PIPERIDIN-3-YL]ETHYL}-4-PHENYL-1-AZONIABICYCLO[2.2.2]OCTANE CHLORIDE	
(S)-2-amino-2-phenylpropanoic acid	853461
(S)-2-amino-3-cyclohexylpropanoic acid	712421
(S)-3-(3-(4-(2-GUANIDINOETHYL)PIPERIDIN-1-YL)-2-(NAPHTHALENE-2-SULFONAMIDO)-3-OXOPROPYL)BENZIMIDAMIDE	6852210
(S)-AMPA	158397
(S)-FTY720P	11452022
(S)-MCPG	446355
(S)-NORDULOXETINE	10107888
(S)-Norfluoxetine	3058751
(S)-TACRINE(10)-HUPYRIDONE	5326967
(S)-crizotinib	56671814
(S)-dimethylenastron	
(S)-enastron	
(S)-flurbiprofen	72099
(S)-sirtinol	1376645
(S,R)-(+)-fenoterol	667688
(S,S)-(-)-bis(10)-hupyridone	445974
(S,S)-(-)-bis(12)-hupyridone	445975
(TERT-BUTYLOXYCARBONYL)-ALANYL-ALANYL-AMINE	5497045
(Z)-1,1,1,2,2,3,3-heptafluorohenicos-12-en-4-one	
(Z)-PugNAc	4343649
(Z)-PugNAc	9576811
(Z)-PugNAc	6382343
(aminooxy)acetic acid	286
(e,e)-2,2'-(1,2-diphenylethene-1,2-diyl)bis(trityldiazene)	
.alpha.-Eudesmol	5317269
.beta.-Adenosine	191
.beta.-Alanyl-L-histidine	439224
.beta.-Alanyl-L-histidine	9369
0173570-0000_MCF7_DOWN	
0173570-0000_MCF7_UP	
0173570-0000_PC3_DOWN	
0173570-0000_PC3_UP	
0175029-0000_MCF7_DOWN	
0175029-0000_MCF7_UP	
0175029-0000_PC3_DOWN	
0175029-0000_PC3_UP	
0179445-0000_MCF7_DOWN	
0179445-0000_MCF7_UP	
0179445-0000_PC3_DOWN	
0179445-0000_PC3_UP	
0198306-0000_MCF7_DOWN	
0198306-0000_MCF7_UP	
0198306-0000_PC3_DOWN	
0225151-0000_MCF7_DOWN	
0225151-0000_MCF7_UP	
0225151-0000_PC3_DOWN	
0297417-0002B_MCF7_DOWN	
0297417-0002B_MCF7_UP	
0297417-0002B_PC3_DOWN	
0297417-0002B_PC3_UP	
0316684-0000_MCF7_DOWN	
0316684-0000_MCF7_UP	
0316684-0000_PC3_DOWN	
0316684-0000_PC3_UP	
0317956-0000_MCF7_DOWN	
0317956-0000_MCF7_UP	
0317956-0000_PC3_DOWN	
0317956-0000_PC3_UP	
1 NA-PP1 (PP1 Analog)(D2 MRC)	
1 NM-PP1 (PP1 Analog II)(D2 MRC)	
1'-Acetonaphthone	13663
1'-Acetoxychavicol acetate	119104
1'-Hydroxybufuralol	162836
1'-Hydroxyestragole	40003
1'-Hyroxysafrole	21268
1,1'-Azobis(N,N-dimethylformamide	
1,1'-Biphenyl, 2,2',3',5-tetrachloro-3-(methylsulfonyl)-	190691
1,1'-Biphenyl, 2,2',3,4',5',6-hexachloro-	38016
1,1'-Biphenyl, 2,2',4,4',5-pentachloro-	38013
1,1'-Biphenyl, 2,3',4,4'-tetrachloro-	36185
1,1,1,2,2,3,3,5-octafluoro-8-phenyloctan-4-one	25060073
