DiseaseID	DrugCID
C0003873	122172945
C0003873	49867938
C0003873	6435893
C0003873	24883466
C0003873	6741
C0003873	9782
C0003873	62280
C0003873	5284373
C0003873	1548887
C0003873	3715
C0003873	2244
C0003873	4037
C0003873	2719
C0003873	5865
C0003873	338
C0003873	5497195
C0003873	16404350
C0003950	4837
C0003950	5430
C0003950	4030
C0003962	5833
C0004030	9919339
C0004030	55283
C0004030	3793
C0004030	6917738
C0004030	14179013
C0004030	145705939
C0004030	73438937
C0004030	46783793
C0004030	14179008
C0004030	91827561
C0004030	139246982
C0004030	134719018
C0004030	5280965
C0004030	71311649
C0004030	14956
C0004030	135391140
C0004030	53486284
C0004030	44399170
C0004030	23863720
C0004030	5386092
C0004030	1972
C0004030	44421047
C0004030	468595
C0004030	16667679
C0004030	50990393
C0004030	45039617
C0004030	118705500
C0004030	6918606
C0004031	5755
C0004096	9433
C0004096	5743
C0004096	4086
C0004096	2153
C0004096	5816
C0004096	21700
C0004096	5865
C0004096	50294
C0004096	5282230
C0004096	5487427
C0004096	6918155
C0004096	4887
C0004096	439260
C0004096	5717
C0004096	5281004
C0004096	5754
C0004096	441335
C0004096	9854489
C0004096	5745
C0004096	6741
C0004096	4845
C0004096	9782
C0004096	5311066
C0004096	2882
C0004096	82153
C0004096	3671
C0004096	31307
C0004096	10184665
C0004096	57697
C0004096	5403
C0004096	5755
C0004096	3182
C0004238	4946
C0004238	39186
C0004238	2520
C0004238	2724385
C0004238	3108
C0004238	59768
C0004245	3779
C0004352	60795
C0004352	5073
C0004364	5745
C0004364	5754
C0004364	31307
C0004364	9782
C0004364	6741
C0004364	5755
C0004364	5865
C0004604	5282387
C0004604	2576
C0004604	54684589
C0004604	64738
C0004604	2519
C0004604	4133
C0004604	2244
C0004604	24871323
C0004604	5147
C0004604	3045402
C0004604	54708862
C0004604	1548943
C0004604	1254
C0004604	2537
C0004604	338
C0004604	1983
C0004626	5379
C0004626	2650
C0004626	150610
C0004626	36921
C0004626	5742673
C0004626	123630
C0004626	5481173
C0004626	3467
C0004626	133687818
C0004626	447043
C0004626	2659
C0004626	441199
C0004626	53025
C0004626	43672
C0004626	33255
C0004626	6249
C0004626	152946
C0004626	66509024
C0004626	37768
C0004626	3081362
C0004626	3000226
C0004626	5479529
C0004626	44298077
C0004626	6914282
C0004626	149096
C0004626	10695961
C0004626	4539
C0004626	5484131
C0004626	9570985
C0004626	441305
C0004626	54671203
C0004626	23679441
C0004626	4583
C0004626	2764
C0004626	5479530
C0004626	84029
C0004626	146157093
C0004626	5479537
C0004626	2622
C0004626	9615345
C0004626	53486338
C0004626	5353490
C0004626	68606
C0004626	6335986
C0004626	72395
C0004626	12560
C0004626	6032
C0004626	5464190
C0004626	5280980
C0004626	46173365
C0004626	41375
C0004626	72938
C0004626	33613
C0004626	9870843
C0004626	6435415
C0004626	104838
C0004626	91713
C0004626	29980780
C0004626	9571107
C0004626	9777579
C0004626	5361202
C0004626	5464436
C0004771	3000226
C0004771	54675783
C0004771	54671203
C0004945	5903
C0004945	5904
C0005138	5755
C0005138	6741
C0005138	5754
C0005138	31307
C0005138	5745
C0005138	5865
C0005138	5743
C0005138	9782
C0005283	2972
C0005283	214348
C0005424	221493
C0005586	3964
C0005586	3028194
C0005586	5002
C0005587	667468
C0005587	667477
C0005587	3158
C0005587	135398745
C0005587	5002
C0005587	3386
C0005587	213046
C0005684	5453
C0005684	454216
C0005697	4634
C0005699	5291
C0005699	5328940
C0005699	3062316
C0005716	47576
C0005716	139246982
C0005716	16667679
C0005716	134719018
C0005716	50990393
C0005716	145705939
C0005716	44399170
C0005716	135391140
C0005716	46783793
C0005716	73438937
C0005716	44421047
C0005716	71311649
C0005716	118705500
C0005716	55283
C0005716	53486284
C0005716	9919339
C0005716	5280965
C0005716	3823
C0005716	14956
C0005716	456201
C0005716	5386092
C0005716	3793
C0005716	1972
C0005716	5702077
C0005716	73951506
C0005716	6917738
C0005716	23863720
C0005716	14179008
C0005716	14179013
C0005716	45039617
C0005716	91827561
C0005743	45267103
C0005743	72395
C0005743	5578
C0005743	441305
C0005743	5755
C0005743	146157093
C0005743	5320
C0005743	5745
C0005743	3467
C0005743	5743
C0005743	5754
C0005743	36294
C0005743	3000226
C0005743	8378
C0006057	5904
C0006060	3000226
C0006060	54671203
C0006060	5959
C0006105	4173
C0006114	9782
C0006114	5743
C0006114	5745
C0006114	5754
C0006114	5755
C0006114	6741
C0006114	6251
C0006114	31307
C0006118	3950
C0006181	3000226
