TTD_ID	CID
D00FQP	5748855
D00FRX	
D00FRY	5478827
D00FSB	
D00FSS	
D00FSV	5280585
D00FTQ	11367166
D00FUD	
D00FUO	4416
D00FUS	159755
D00FUT	123884
D00FUZ	
D00FWB	9895877
D00FXL	44439907
D00FXQ	
D00FYF	9796290
D00FYP	
D00FZA	
D00FZH	
D00FZN	24755140
D00FZZ	
D00GAM	56843414
D00GAV	
D00GBB	11449246
D00GBG	
D00GBP	
D00GBX	71751
D00GBZ	
D00GCA	
D00GCC	6918688
D00GCK	256446
D00GCN	386569
D00GDI	45487890
D00GDN	
D00GEE	92766
D00GEG	5745207
D00GES	
D00GFU	
D00GFV	
D00GGB	
D00GHB	444189
D00GHG	
D00GHK	5283036
D00GIB	11441298
D00GII	44418888
D00GIK	9991046
D00GIR	
D00GIU	151644
D00GIW	44414099
D00GJK	
D00GJY	
D00GJZ	50919912
D00GKE	
D00GKH	
D00GLJ	
D00GLQ	
D00GLW	
D00GMI	
D00GMJ	
D00GNI	
D00GNJ	16158208
D00GNK	177941
D00GNN	
D00GNP	
D00GNW	16109429
D00GOC	135413551
D00GOD	10035600
D00GOH	
D00GOM	
D00GOQ	44575384
D00GOS	5311052
D00GOV	
D00GOY	6604042
D00GPQ	46224413
D00GPY	
D00GQC	12921
D00GQI	11313151
D00GQM	25069592
D00GQP	45482341
D00GRN	52945274
D00GSD	25107716
D00GSF	
D00GTC	5332859
D00GTU	5311453
D00GTY	
D00GUE	46230226
D00GUG	379934
D00GUM	3074
D00GVA	44520904
D00GVV	5329155
D00GWE	
D00GWR	
D00GXL	10016012
D00GYE	42625618
D00GYX	7509
D00GZW	208925
D00GZY	44146842
D00HAJ	44417177
D00HAM	
D00HAN	
D00HAP	56841156
D00HAZ	45484885
D00HBE	
D00HBF	
D00HBJ	
D00HBR	5486554
D00HCC	12996705
D00HCI	1598
D00HCK	
D00HCQ	60953
D00HDB	
D00HDC	
D00HDH	
D00HDK	
D00HDU	91270
D00HDZ	
D00HEA	
D00HEN	
D00HET	9797585
D00HFD	129064
D00HFS	46884057
D00HFT	46229075
D00HFV	11652296
D00HGB	4488
D00HGD	
D00HGF	8998
D00HGY	
D00HHK	15079635
D00HHP	
D00HHS	7028
D00HHU	
D00HIC	
D00HIG	62296
D00HIH	53252525
D00HKQ	25002940
D00HLW	72200024
D00HMQ	
D00HMZ	
D00HNB	25419
D00HNG	9957278
D00HNK	
D00HNQ	
D00HPD	
D00HPK	47641
D00HPX	
D00HQB	
D00HQE	
D00HQJ	
D00HSG	44408767
D00HSJ	10275789
D00HSK	
D00HTO	176405
D00HTT	
D00HTY	5280363
D00HUB	11780703
D00HUP	46894037
D00HUV	9881815
D00HUY	10473960
D00HUZ	76418751
D00HVA	11624601
D00HVP	10070992
D00HVX	10103893
D00HVZ	
D00HWD	54708744
D00HWF	6421522
D00HWJ	18392356
D00HWO	19003
D00HXJ	
D00HXX	56650312
D00HXZ	11583137
D00HYD	
D00HYF	
D00HYK	10407120
D00HYL	44365986
D00HYO	20704716
D00HYS	18507264
D00HZA	
D00HZO	
D00HZT	135449109
D00HZV	5584
D00IAE	11974340
D00IAH	
D00IAK	44455840
D00IBG	643976
D00IBN	54676228
D00ICA	33113
D00ICD	
D00ICM	130121
D00ICS	
D00ICY	
D00IDP	
D00IDR	
D00IDV	
D00IEB	
D00IFH	
D00IFJ	10081476
D00IFQ	
D00IFR	58423153
D00IGI	2207
D00IIQ	44456366
D00IJM	
D00IJQ	6918153
D00IKH	2577
D00IKI	
D00IKQ	46703766
D00IKR	
D00IMW	643975
D00INM	
D00IOF	11689583
D00IOS	
D00IPI	
D00IPO	10307922
D00IPP	11615440
D00IPW	
D00IQH	11677589
D00IQV	
D00IRL	16745325
D00IRU	6918385
D00ISN	
D00ITC	
D00ITG	60062
D00ITT	
D00IUB	53435365
D00IUD	5702657
D00IUG	39468
D00IUN	25099145
D00IVF	
D00IVM	
D00IVN	
D00IWE	
D00IWH	7090494
D00IWL	
D00IXB	10445833
D00IXM	
D00IXN	
D00IYB	70697637
D00IYM	132550
D00IZD	
D00IZW	
D00IZY	
