DiseaseID	DrugCID
UMLS:C0001206	90488715
UMLS:C0001206	44311916
UMLS:C0001206	155903738
UMLS:C0001206	44420813
UMLS:C0001206	6400441
UMLS:C0001206	383414
UMLS:C0001206	448601
UMLS:C0001206	86289069
UMLS:C0001206	28864
UMLS:C0001206	31101
UMLS:C0001622	5702077
UMLS:C0001622	656583
UMLS:C0001622	456201
UMLS:C0001622	3823
UMLS:C0001622	9941444
UMLS:C0001622	47576
UMLS:C0001622	73951506
UMLS:C0001627	5755
UMLS:C0001627	6741
UMLS:C0001627	9782
UMLS:C0001627	31307
UMLS:C0002170	4201
UMLS:C0002171	31307
UMLS:C0002390	5755
UMLS:C0002395	77991
UMLS:C0002395	3152
UMLS:C0002395	9651
UMLS:C0002438	5320
UMLS:C0002726	12035
UMLS:C0002726	5862
UMLS:C0002736	5070
UMLS:C0002880	5743
UMLS:C0002880	5755
UMLS:C0002880	6741
UMLS:C0002880	5754
UMLS:C0002880	9782
UMLS:C0002880	5865
UMLS:C0002880	31307
UMLS:C0002888	135436482
UMLS:C0002888	135403648
UMLS:C0002892	1130
UMLS:C0002892	6474318
UMLS:C0002892	70678590
UMLS:C0002892	44475014
UMLS:C0002892	54605677
UMLS:C0002892	126480146
UMLS:C0002892	70678542
UMLS:C0002892	44176380
UMLS:C0002963	2520
UMLS:C0002963	2162
UMLS:C0002963	39186
UMLS:C0002963	4485
UMLS:C0002963	60823
UMLS:C0003175	5904
UMLS:C0003175	149096
UMLS:C0003175	2764
UMLS:C0003175	4583
UMLS:C0003175	4539
UMLS:C0003175	54671203
UMLS:C0003615	43672
UMLS:C0003615	123630
UMLS:C0003850	23663976
UMLS:C0003850	54454
UMLS:C0003850	60823
UMLS:C0003850	446155
UMLS:C0003850	54687
UMLS:C0003850	37888681
UMLS:C0003850	53232
UMLS:C0003862	1983
UMLS:C0003862	2244
UMLS:C0003862	5147
UMLS:C0003862	2519
UMLS:C0003862	156391
UMLS:C0003864	54677971
UMLS:C0003868	31307
UMLS:C0003868	135401907
UMLS:C0003868	5743
UMLS:C0003868	9782
UMLS:C0003868	1548887
UMLS:C0003868	6741
UMLS:C0003868	5865
UMLS:C0003868	5754
UMLS:C0003868	4911
UMLS:C0003868	5755
UMLS:C0003872	3899
UMLS:C0003872	6741
UMLS:C0003872	5754
UMLS:C0003872	5743
UMLS:C0003872	31307
UMLS:C0003872	5755
UMLS:C0003872	9782
UMLS:C0003872	5865
UMLS:C0003873	3033
UMLS:C0003873	4614
UMLS:C0003873	3899
UMLS:C0003873	2265
UMLS:C0003873	3652
UMLS:C0003873	3672
UMLS:C0003873	3028194
UMLS:C0003873	54676228
UMLS:C0003873	5468
UMLS:C0003873	5743
UMLS:C0003873	4409
UMLS:C0003873	3825
UMLS:C0003873	126941
UMLS:C0003873	5161
UMLS:C0003873	5509
UMLS:C0003873	6333901
UMLS:C0003873	6918453
UMLS:C0003873	2662
UMLS:C0003873	3342
UMLS:C0003873	5280754
UMLS:C0003873	2909
UMLS:C0003873	73896891
UMLS:C0003873	5755
UMLS:C0003873	31307
UMLS:C0003873	3059
UMLS:C0003873	5852
UMLS:C0003873	54677470
UMLS:C0003873	3394
UMLS:C0003873	5754
UMLS:C0003873	5339
UMLS:C0003873	156391
UMLS:C0003873	3308
UMLS:C0003873	49867938
UMLS:C0003873	24883466
UMLS:C0003873	6741
UMLS:C0003873	9782
UMLS:C0003873	5284373
UMLS:C0003873	1548887
UMLS:C0003873	3715
UMLS:C0003873	2244
UMLS:C0003873	4037
UMLS:C0003873	2719
UMLS:C0003873	5865
UMLS:C0003873	5497195
UMLS:C0003873	16404350
UMLS:C0003950	4837
UMLS:C0003950	5430
UMLS:C0003950	4030
UMLS:C0003962	5833
UMLS:C0004030	9919339
UMLS:C0004030	55283
UMLS:C0004030	3793
UMLS:C0004030	6917738
UMLS:C0004030	14179013
UMLS:C0004030	145705939
UMLS:C0004030	73438937
UMLS:C0004030	46783793
UMLS:C0004030	14179008
UMLS:C0004030	91827561
UMLS:C0004030	139246982
UMLS:C0004030	134719018
UMLS:C0004030	5280965
UMLS:C0004030	71311649
UMLS:C0004030	14956
UMLS:C0004030	135391140
UMLS:C0004030	53486284
UMLS:C0004030	44399170
UMLS:C0004030	23863720
UMLS:C0004030	5386092
UMLS:C0004030	1972
UMLS:C0004030	44421047
UMLS:C0004030	468595
UMLS:C0004030	16667679
UMLS:C0004030	50990393
UMLS:C0004030	45039617
UMLS:C0004030	118705500
UMLS:C0004031	5755
UMLS:C0004096	9433
UMLS:C0004096	5743
UMLS:C0004096	4086
UMLS:C0004096	2153
UMLS:C0004096	5816
UMLS:C0004096	5865
UMLS:C0004096	50294
UMLS:C0004096	6918155
UMLS:C0004096	4887
UMLS:C0004096	439260
UMLS:C0004096	5717
UMLS:C0004096	5281004
UMLS:C0004096	5754
UMLS:C0004096	9854489
UMLS:C0004096	6741
UMLS:C0004096	4845
UMLS:C0004096	9782
UMLS:C0004096	5311066
UMLS:C0004096	82153
UMLS:C0004096	3671
UMLS:C0004096	31307
UMLS:C0004096	57697
UMLS:C0004096	5403
UMLS:C0004096	5755
UMLS:C0004096	3182
UMLS:C0004238	4946
UMLS:C0004238	39186
UMLS:C0004238	2520
UMLS:C0004238	2724385
UMLS:C0004238	3108
UMLS:C0004238	59768
UMLS:C0004245	3779
UMLS:C0004364	5754
UMLS:C0004364	31307
UMLS:C0004364	9782
UMLS:C0004364	6741
UMLS:C0004364	5755
UMLS:C0004364	5865
UMLS:C0004626	5379
UMLS:C0004626	2650
UMLS:C0004626	150610
UMLS:C0004626	5742673
UMLS:C0004626	123630
UMLS:C0004626	5481173
UMLS:C0004626	3467
UMLS:C0004626	133687818
UMLS:C0004626	447043
UMLS:C0004626	2659
UMLS:C0004626	53025
UMLS:C0004626	43672
UMLS:C0004626	33255
UMLS:C0004626	6249
UMLS:C0004626	152946
UMLS:C0004626	66509024
UMLS:C0004626	37768
UMLS:C0004626	3081362
UMLS:C0004626	5479529
UMLS:C0004626	44298077
UMLS:C0004626	6914282
UMLS:C0004626	149096
UMLS:C0004626	10695961
UMLS:C0004626	4539
UMLS:C0004626	5484131
UMLS:C0004626	9570985
UMLS:C0004626	54671203
UMLS:C0004626	23679441
UMLS:C0004626	4583
UMLS:C0004626	2764
UMLS:C0004626	5479530
UMLS:C0004626	84029
UMLS:C0004626	5479537
UMLS:C0004626	2622
UMLS:C0004626	9615345
UMLS:C0004626	53486338
UMLS:C0004626	5353490
UMLS:C0004626	68606
UMLS:C0004626	6335986
UMLS:C0004626	12560
UMLS:C0004626	6032
UMLS:C0004626	5464190
UMLS:C0004626	46173365
UMLS:C0004626	41375
UMLS:C0004626	72938
UMLS:C0004626	33613
UMLS:C0004626	9870843
UMLS:C0004626	6435415
UMLS:C0004626	91713
UMLS:C0004626	29980780
UMLS:C0004626	9571107
UMLS:C0004626	9777579
UMLS:C0004626	5361202
UMLS:C0004626	5464436
UMLS:C0004771	54675783
UMLS:C0004771	54671203
UMLS:C0005586	3964
UMLS:C0005586	3028194
UMLS:C0005586	5002
UMLS:C0005699	5328940
UMLS:C0005699	3062316
UMLS:C0005716	47576
UMLS:C0005716	139246982
UMLS:C0005716	16667679
UMLS:C0005716	134719018
UMLS:C0005716	50990393
UMLS:C0005716	145705939
UMLS:C0005716	44399170
UMLS:C0005716	135391140
UMLS:C0005716	46783793
UMLS:C0005716	73438937
UMLS:C0005716	44421047
UMLS:C0005716	71311649
UMLS:C0005716	118705500
UMLS:C0005716	55283
UMLS:C0005716	53486284
UMLS:C0005716	9919339
UMLS:C0005716	5280965
UMLS:C0005716	3823
UMLS:C0005716	14956
UMLS:C0005716	456201
UMLS:C0005716	5386092
UMLS:C0005716	3793
UMLS:C0005716	1972
UMLS:C0005716	5702077
UMLS:C0005716	73951506
UMLS:C0005716	6917738
UMLS:C0005716	23863720
UMLS:C0005716	14179008
UMLS:C0005716	14179013
UMLS:C0005716	45039617
UMLS:C0005716	91827561
UMLS:C0006267	439260
UMLS:C0006267	12035
UMLS:C0006267	4845
UMLS:C0006267	5862
UMLS:C0006267	5816
UMLS:C0006277	54671203
UMLS:C0006277	5403
UMLS:C0006277	71311649
UMLS:C0006277	9433
UMLS:C0006277	14956
UMLS:C0006277	132274080
UMLS:C0006277	132274085
UMLS:C0006277	129629095
UMLS:C0006277	45105094
UMLS:C0006277	90437953
UMLS:C0006277	92329211
UMLS:C0006277	5943039
UMLS:C0006277	91323352
UMLS:C0006277	5386092
UMLS:C0006277	5816
UMLS:C0006277	6604438
UMLS:C0006277	54362
UMLS:C0006277	6321411
UMLS:C0006277	5362065
UMLS:C0006277	44421047
UMLS:C0006277	5280965
UMLS:C0006277	5862
UMLS:C0006277	1972
UMLS:C0006277	4086
UMLS:C0006277	4539
UMLS:C0006277	145705939
UMLS:C0006277	12035
UMLS:C0006277	118705500
UMLS:C0006277	46783793
UMLS:C0006277	50990393
UMLS:C0006277	134719018
UMLS:C0006277	16667679
UMLS:C0006277	2153
UMLS:C0006277	53486284
UMLS:C0006277	4583
UMLS:C0006277	54675776
UMLS:C0006277	19003
UMLS:C0006277	139246982
UMLS:C0006277	54675783
UMLS:C0006277	73438937
UMLS:C0006277	9919339
UMLS:C0006277	23863720
UMLS:C0006277	91827561
UMLS:C0006277	135391140
UMLS:C0006277	439260
UMLS:C0006277	3948
UMLS:C0006277	44399170
UMLS:C0006277	60148420
UMLS:C0006277	129009964
UMLS:C0006277	6917067
UMLS:C0006277	6473883
UMLS:C0006277	54675779
UMLS:C0006277	134693953
UMLS:C0006277	146159353
UMLS:C0006277	71306790
UMLS:C0006277	78358338
UMLS:C0006277	9294
UMLS:C0006277	54680690
UMLS:C0006277	4845
UMLS:C0006277	71729967
UMLS:C0006277	70789200
UMLS:C0006277	126968498
UMLS:C0006277	46783780
UMLS:C0006277	5464388
UMLS:C0006277	46705321
UMLS:C0006309	14956
UMLS:C0006309	54675776
UMLS:C0006309	50990393
UMLS:C0006309	5386092
UMLS:C0006309	135391140
UMLS:C0006309	46783793
UMLS:C0006309	118705500
UMLS:C0006309	19649
UMLS:C0006309	16667679
UMLS:C0006309	54675779
UMLS:C0006309	1972
UMLS:C0006309	145705939
UMLS:C0006309	73438937
UMLS:C0006309	91827561
UMLS:C0006309	9919339
UMLS:C0006309	44399170
UMLS:C0006309	23863720
UMLS:C0006309	139246982
UMLS:C0006309	54680690
UMLS:C0006309	71311649
UMLS:C0006309	53486284
UMLS:C0006309	44421047
UMLS:C0006309	54671203
UMLS:C0006309	54675783
UMLS:C0006309	5280965
UMLS:C0006309	134719018
UMLS:C0006413	62313
UMLS:C0006413	122172881
UMLS:C0006413	71296921
UMLS:C0006413	126941
UMLS:C0006413	5978
UMLS:C0006413	134755071
UMLS:C0006413	45358158
UMLS:C0006413	5743
UMLS:C0006413	31703
UMLS:C0006413	3717450
UMLS:C0006413	5388993
UMLS:C0006413	6324671
UMLS:C0006444	31307
UMLS:C0006444	9782
UMLS:C0006444	156391
UMLS:C0006444	1548887
UMLS:C0006444	6741
UMLS:C0006444	5743
UMLS:C0006444	5755
UMLS:C0006444	3715
UMLS:C0006444	5754
UMLS:C0006840	44399170
UMLS:C0006840	71311649
UMLS:C0006840	5280965
UMLS:C0006840	16667679
UMLS:C0006840	50990393
UMLS:C0006840	9919339
UMLS:C0006840	53486284
UMLS:C0006840	46783793
UMLS:C0006840	118705500
UMLS:C0006840	145705939
UMLS:C0006840	73438937
UMLS:C0006840	135391140
UMLS:C0006840	23863720
UMLS:C0006840	468595
UMLS:C0006840	44421047
UMLS:C0006840	134719018
UMLS:C0006840	1972
UMLS:C0006840	14956
UMLS:C0006840	139246982
UMLS:C0006840	5386092
UMLS:C0006840	91827561
UMLS:C0006846	47576
UMLS:C0006846	5702077
UMLS:C0006846	3198
UMLS:C0006846	145705939
UMLS:C0006846	50990393
UMLS:C0006846	456201
UMLS:C0006846	5386092
UMLS:C0006846	53486284
UMLS:C0006846	118705500
UMLS:C0006846	135391140
UMLS:C0006846	5280965
UMLS:C0006846	6433272
UMLS:C0006846	3823
UMLS:C0006846	14956
UMLS:C0006846	16667679
UMLS:C0006846	2749
UMLS:C0006846	23863720
UMLS:C0006846	71311649
UMLS:C0006846	139246982
UMLS:C0006846	4189
UMLS:C0006846	91827561
UMLS:C0006846	73438937
UMLS:C0006846	9919339
UMLS:C0006846	1972
UMLS:C0006846	31307
UMLS:C0006846	46783793
UMLS:C0006846	2812
UMLS:C0006846	44399170
UMLS:C0006846	44421047
UMLS:C0006846	134719018
UMLS:C0006846	73951506
UMLS:C0006849	5386092
UMLS:C0006849	23863720
UMLS:C0006849	14956
UMLS:C0006849	73438937
UMLS:C0006849	2812
UMLS:C0006849	16667679
UMLS:C0006849	71311649
UMLS:C0006849	134719018
UMLS:C0006849	91827561
UMLS:C0006849	1972
UMLS:C0006849	139246982
UMLS:C0006849	73951506
UMLS:C0006849	46783793
UMLS:C0006849	50990393
UMLS:C0006849	6433272
UMLS:C0006849	53486284
UMLS:C0006849	44421047
UMLS:C0006849	3823
UMLS:C0006849	118705500
UMLS:C0006849	47576
UMLS:C0006849	5280965
UMLS:C0006849	5702077
UMLS:C0006849	456201
UMLS:C0006849	3365
UMLS:C0006849	44399170
UMLS:C0006849	9919339
UMLS:C0006849	145705939
UMLS:C0006849	135391140
UMLS:C0007117	24776445
UMLS:C0007131	5672
UMLS:C0007131	135410875
UMLS:C0007131	123631
UMLS:C0007131	73265388
UMLS:C0007131	148124
UMLS:C0007131	60750
UMLS:C0007131	44424639
UMLS:C0007131	71296871
UMLS:C0007131	36314
UMLS:C0007131	13200033
UMLS:C0007131	60780
UMLS:C0007131	5311497
UMLS:C0007134	5284616
UMLS:C0007134	10113978
UMLS:C0007134	86277830
UMLS:C0007134	5329102
UMLS:C0007134	71433778
UMLS:C0007134	163359784
UMLS:C0007134	132274070
UMLS:C0007134	216239
UMLS:C0007134	71312019
UMLS:C0007134	23308413
UMLS:C0007134	129317846
UMLS:C0007134	54608508
UMLS:C0007134	137295275
UMLS:C0007134	53486199
UMLS:C0007134	145712265
UMLS:C0007134	86287409
UMLS:C0007134	23724530
UMLS:C0007134	148191
UMLS:C0007134	6918289
UMLS:C0007134	18293306
UMLS:C0007134	6442177
UMLS:C0007137	84068
UMLS:C0007137	155903698
UMLS:C0007137	5460769
UMLS:C0007137	5360373
UMLS:C0007137	456190
UMLS:C0007194	4946
UMLS:C0007820	5504
UMLS:C0007820	3783
UMLS:C0008311	33255
UMLS:C0008311	37768
UMLS:C0008311	6032
UMLS:C0008311	3467
UMLS:C0008311	6249
UMLS:C0008311	12560
UMLS:C0008312	31401
UMLS:C0008350	31401
UMLS:C0008350	10133
UMLS:C0008513	5215
UMLS:C0008526	6215
UMLS:C0008582	47576
UMLS:C0008582	73951506
UMLS:C0008582	468595
UMLS:C0008582	3823
UMLS:C0008582	5702077
UMLS:C0008582	456201
UMLS:C0008677	3083544
UMLS:C0008677	3182
UMLS:C0009088	2519
UMLS:C0009088	5358
UMLS:C0009088	8223
UMLS:C0009088	10531
UMLS:C0009088	4763
UMLS:C0009186	118705500
UMLS:C0009186	5702077
UMLS:C0009186	134719018
UMLS:C0009186	145705939
UMLS:C0009186	53486284
UMLS:C0009186	46783793
UMLS:C0009186	50990393
UMLS:C0009186	71311649
UMLS:C0009186	139246982
UMLS:C0009186	468595
UMLS:C0009186	3823
UMLS:C0009186	44421047
UMLS:C0009186	47576
UMLS:C0009186	44399170
UMLS:C0009186	73438937
UMLS:C0009186	135391140
UMLS:C0009186	16667679
UMLS:C0009186	5280965
UMLS:C0009186	14956
UMLS:C0009186	73951506
UMLS:C0009186	1972
UMLS:C0009186	5386092
UMLS:C0009186	23863720
UMLS:C0009186	9919339
UMLS:C0009186	456201
UMLS:C0009186	91827561
UMLS:C0009324	5755
UMLS:C0009324	5339
UMLS:C0009324	4075
UMLS:C0009324	5215
UMLS:C0009324	54585
UMLS:C0009324	5754
UMLS:C0009443	10297
UMLS:C0009443	5284569
UMLS:C0009443	3000322
UMLS:C0009443	5184
UMLS:C0009443	5284570
UMLS:C0009443	11968014
UMLS:C0009443	6726
UMLS:C0009443	6451257
UMLS:C0009443	6432494
UMLS:C0009443	452977
UMLS:C0009443	19861
UMLS:C0009443	2723877
UMLS:C0009443	2444
UMLS:C0009443	6364626
UMLS:C0009443	2244
UMLS:C0009443	2678
UMLS:C0009443	9294
UMLS:C0009443	5360696
UMLS:C0009443	3957
UMLS:C0009443	1983
UMLS:C0009443	2519
UMLS:C0009443	3162
UMLS:C0009443	5284371
UMLS:C0009443	2795
UMLS:C0009443	21158562
UMLS:C0009443	67548346
UMLS:C0009443	5282411
UMLS:C0009443	4992
UMLS:C0009443	153311
UMLS:C0009443	2564
UMLS:C0009443	162265
UMLS:C0009443	4786
UMLS:C0009443	124087
UMLS:C0009443	3779
UMLS:C0009443	26934
UMLS:C0009443	2710
UMLS:C0009443	2725
UMLS:C0009443	6041
UMLS:C0009443	16399351
UMLS:C0009443	134767951
UMLS:C0009443	7028
UMLS:C0009443	638340
UMLS:C0009443	5282443
UMLS:C0009443	9916237
UMLS:C0009443	750
UMLS:C0009443	4761
UMLS:C0009443	5284456
UMLS:C0009766	50294
UMLS:C0009766	26934
UMLS:C0009766	2200
UMLS:C0009766	3957
UMLS:C0009766	14677
UMLS:C0009766	2913
UMLS:C0009766	7028
UMLS:C0009766	3827
UMLS:C0009766	162265
UMLS:C0009766	5282443
UMLS:C0009766	3826
UMLS:C0009766	10297
UMLS:C0009766	2678
UMLS:C0009766	5587
UMLS:C0009766	3658
UMLS:C0009766	36294
UMLS:C0009766	2247
UMLS:C0009766	19371515
UMLS:C0009766	19861
UMLS:C0009766	6041
UMLS:C0009766	3162
UMLS:C0009766	4926
UMLS:C0009766	57697
UMLS:C0009766	6834
UMLS:C0009766	2564
UMLS:C0009766	3241
UMLS:C0009766	2710
UMLS:C0009766	5754
UMLS:C0009766	6011
UMLS:C0009766	16960
UMLS:C0009766	5755
UMLS:C0009766	4786
UMLS:C0009766	4992
UMLS:C0009766	26987
UMLS:C0009766	5574
UMLS:C0009766	9294
UMLS:C0009766	3100
UMLS:C0009766	3219
UMLS:C0009766	124087
UMLS:C0009766	3103
UMLS:C0009766	11291
UMLS:C0009766	54385
UMLS:C0009766	3348
UMLS:C0009766	4927
UMLS:C0009766	247839
UMLS:C0009766	6726
UMLS:C0009766	2725
UMLS:C0009766	9878
