DrugID	CID	
CHEMBL1201529	
CHEMBL83	2733526
CHEMBL1200501	16052011
CHEMBL1683590	11354606
CHEMBL1908360	6442177
CHEMBL1637	60749
CHEMBL92	148124
CHEMBL3137318	135565654
CHEMBL1201247	5311128
CHEMBL3989921	67307512
CHEMBL1773	60953
CHEMBL786	2733525
CHEMBL180022	9915743
CHEMBL34259	126941
CHEMBL3545252	148123
CHEMBL428647	36314
CHEMBL88	2907
CHEMBL1201179	11557040
CHEMBL888	60750
CHEMBL2396661	56649450
CHEMBL3545110	44631912
CHEMBL1201585	
CHEMBL3137320	135565082
CHEMBL3707227	
CHEMBL1200796	22420
CHEMBL417	41867
CHEMBL1358	104741
CHEMBL3707266	57334219
CHEMBL2007641	
CHEMBL3545262	
CHEMBL1444	3902
CHEMBL1200374	60198
CHEMBL3989868	51039094
CHEMBL359744	443939
CHEMBL189963	5330286
CHEMBL1201752	6445540
CHEMBL3301610	46220502
CHEMBL1655	3005573
CHEMBL554	208908
CHEMBL1237023	
CHEMBL1200981	65348
CHEMBL53463	31703
CHEMBL1399	2187
CHEMBL1743082	
CHEMBL1200675	3005572
CHEMBL1683544	17755248
CHEMBL4297844	
CHEMBL1201782	135564864
CHEMBL1773	60953
CHEMBL2216870	11625818
CHEMBL1229517	42611257
CHEMBL428647	36314
CHEMBL2368924	6918119
CHEMBL1201139	11683
CHEMBL3187723	10288191
CHEMBL917	5790
CHEMBL810	5394
CHEMBL2103744	6321225
CHEMBL3989939	67330085
CHEMBL1201577	
CHEMBL20883	5386
CHEMBL671	5453
CHEMBL1421	3062316
CHEMBL289469	3510
CHEMBL1738797	49806720
CHEMBL2028663	44462760
CHEMBL1096882	30751
CHEMBL1189679	6337614
CHEMBL3989868	51039094
CHEMBL535	5329102
CHEMBL2068237	
CHEMBL820	2478
CHEMBL3545432	56844015
CHEMBL118	2662
CHEMBL4204794	118023034
CHEMBL465	16078
CHEMBL44657	36462
CHEMBL1358	104741
CHEMBL2007641	
CHEMBL3039502	50905713
CHEMBL473417	24776445
CHEMBL1201746	148121
CHEMBL596	3345
CHEMBL487253	65628
CHEMBL888	60750
CHEMBL105	5746
CHEMBL2396661	56649450
CHEMBL3889654	46188928
CHEMBL3833373	
CHEMBL1201827	
CHEMBL3545185	71481097
CHEMBL1683590	11354606
CHEMBL1336	216239
CHEMBL408513	6918638
CHEMBL1200386	6714002
CHEMBL1082407	15951529
CHEMBL553	176870
CHEMBL3137309	49846579
CHEMBL3137320	135565082
CHEMBL1983268	25141092
CHEMBL24828	3081361
CHEMBL2141296	25183872
CHEMBL1173055	9931954
